accuracy,corpus_count,dm,min_count,n_epochs,sample,vector_size,window
0.6781481481481482,72450,True,10,10,0.001,100,5
0.6703703703703704,72450,True,10,30,0.001,100,5
0.6662962962962963,72450,True,10,50,0.001,100,5
0.6718518518518518,72450,True,10,10,0.001,100,15
0.6744444444444444,72450,True,10,30,0.001,100,15
0.6674074074074074,72450,True,10,50,0.001,100,15
0.6781481481481482,72450,True,10,10,0.001,300,5
0.674074074074074,72450,True,10,30,0.001,300,5
0.6655555555555556,72450,True,10,50,0.001,300,5
0.6711111111111111,72450,True,10,10,0.001,300,15
0.6637037037037037,72450,True,10,30,0.001,300,15
0.6559259259259259,72450,True,10,50,0.001,300,15
0.6751851851851852,72450,True,30,10,0.001,100,5
0.6840740740740741,72450,True,30,30,0.001,100,5
0.6792592592592592,72450,True,30,50,0.001,100,5
0.6792592592592592,72450,True,30,10,0.001,100,15
0.672962962962963,72450,True,30,30,0.001,100,15
0.6714814814814815,72450,True,30,50,0.001,100,15
0.6711111111111111,72450,True,30,10,0.001,300,5
0.6666666666666666,72450,True,30,30,0.001,300,5
0.6718518518518518,72450,True,30,50,0.001,300,5
0.6751851851851852,72450,True,30,10,0.001,300,15
0.6633333333333333,72450,True,30,30,0.001,300,15
0.6496296296296297,72450,True,30,50,0.001,300,15
0.6803703703703704,72450,True,50,10,0.001,100,5
0.6885185185185185,72450,True,50,30,0.001,100,5
0.6796296296296296,72450,True,50,50,0.001,100,5
0.6803703703703704,72450,True,50,10,0.001,100,15
0.6796296296296296,72450,True,50,30,0.001,100,15
0.6711111111111111,72450,True,50,50,0.001,100,15
0.6811111111111111,72450,True,50,10,0.001,300,5
0.6718518518518518,72450,True,50,30,0.001,300,5
0.6677777777777778,72450,True,50,50,0.001,300,5
0.6711111111111111,72450,True,50,10,0.001,300,15
0.6611111111111111,72450,True,50,30,0.001,300,15
0.654074074074074,72450,True,50,50,0.001,300,15
0.6859259259259259,72450,True,10,10,0.0001,100,5
0.6848148148148148,72450,True,10,30,0.0001,100,5
0.6881481481481482,72450,True,10,50,0.0001,100,5
0.672962962962963,72450,True,10,10,0.0001,100,15
0.6751851851851852,72450,True,10,30,0.0001,100,15
0.6774074074074075,72450,True,10,50,0.0001,100,15
0.6925925925925925,72450,True,10,10,0.0001,300,5
0.6803703703703704,72450,True,10,30,0.0001,300,5
0.6748148148148149,72450,True,10,50,0.0001,300,5
0.6848148148148148,72450,True,10,10,0.0001,300,15
0.674074074074074,72450,True,10,30,0.0001,300,15
0.667037037037037,72450,True,10,50,0.0001,300,15
0.687037037037037,72450,True,30,10,0.0001,100,5
0.6833333333333333,72450,True,30,30,0.0001,100,5
0.6881481481481482,72450,True,30,50,0.0001,100,5
0.6822222222222222,72450,True,30,10,0.0001,100,15
0.6792592592592592,72450,True,30,30,0.0001,100,15
0.6792592592592592,72450,True,30,50,0.0001,100,15
0.6951851851851852,72450,True,30,10,0.0001,300,5
0.6751851851851852,72450,True,30,30,0.0001,300,5
0.6722222222222223,72450,True,30,50,0.0001,300,5
0.6874074074074074,72450,True,30,10,0.0001,300,15
0.6744444444444444,72450,True,30,30,0.0001,300,15
0.6788888888888889,72450,True,30,50,0.0001,300,15
0.6922222222222222,72450,True,50,10,0.0001,100,5
0.6892592592592592,72450,True,50,30,0.0001,100,5
0.6896296296296296,72450,True,50,50,0.0001,100,5
0.6785185185185185,72450,True,50,10,0.0001,100,15
0.6788888888888889,72450,True,50,30,0.0001,100,15
0.6862962962962963,72450,True,50,50,0.0001,100,15
0.6903703703703704,72450,True,50,10,0.0001,300,5
0.6818518518518518,72450,True,50,30,0.0001,300,5
0.6703703703703704,72450,True,50,50,0.0001,300,5
0.6833333333333333,72450,True,50,10,0.0001,300,15
0.6744444444444444,72450,True,50,30,0.0001,300,15
0.6681481481481482,72450,True,50,50,0.0001,300,15
