accuracy,corpus_count,dm,min_count,n_epochs,sample,vector_size,window
0.8672727272727273,42331,True,1,10,0.0001,100,5
0.83,42331,True,1,10,0.0001,100,15
0.8645454545454545,42331,True,1,10,0.0001,300,5
0.85,42331,True,1,10,0.0001,300,15
0.8445454545454546,42331,True,5,10,0.0001,100,5
0.8290909090909091,42331,True,5,10,0.0001,100,15
0.8354545454545454,42331,True,5,10,0.0001,300,5
0.8545454545454545,42331,True,5,10,0.0001,300,15
0.8318181818181818,42331,True,15,10,0.0001,100,5
0.8145454545454546,42331,True,15,10,0.0001,100,15
0.8109090909090909,42331,True,15,10,0.0001,300,5
0.8363636363636363,42331,True,15,10,0.0001,300,15
0.7954545454545454,42331,True,50,10,0.0001,100,5
0.7872727272727272,42331,True,50,10,0.0001,100,15
0.7945454545454546,42331,True,50,10,0.0001,300,5
0.8036363636363636,42331,True,50,10,0.0001,300,15
0.8836363636363637,42331,True,1,10,1e-05,100,5
0.8690909090909091,42331,True,1,10,1e-05,100,15
0.8836363636363637,42331,True,1,10,1e-05,300,5
0.8663636363636363,42331,True,1,10,1e-05,300,15
0.8763636363636363,42331,True,5,10,1e-05,100,5
0.8545454545454545,42331,True,5,10,1e-05,100,15
0.87,42331,True,5,10,1e-05,300,5
0.8518181818181818,42331,True,5,10,1e-05,300,15
0.8354545454545454,42331,True,15,10,1e-05,100,5
0.8290909090909091,42331,True,15,10,1e-05,100,15
0.8372727272727273,42331,True,15,10,1e-05,300,5
0.8345454545454546,42331,True,15,10,1e-05,300,15
0.8172727272727273,42331,True,50,10,1e-05,100,5
0.79,42331,True,50,10,1e-05,100,15
0.8045454545454546,42331,True,50,10,1e-05,300,5
0.7963636363636364,42331,True,50,10,1e-05,300,15
0.8927272727272727,42331,True,1,10,1e-06,100,5
0.8763636363636363,42331,True,1,10,1e-06,100,15
0.8972727272727272,42331,True,1,10,1e-06,300,5
0.8772727272727273,42331,True,1,10,1e-06,300,15
0.8545454545454545,42331,True,5,10,1e-06,100,5
0.85,42331,True,5,10,1e-06,100,15
0.8572727272727273,42331,True,5,10,1e-06,300,5
0.85,42331,True,5,10,1e-06,300,15
0.8209090909090909,42331,True,15,10,1e-06,100,5
0.7990909090909091,42331,True,15,10,1e-06,100,15
0.8181818181818182,42331,True,15,10,1e-06,300,5
0.7945454545454546,42331,True,15,10,1e-06,300,15
0.7463636363636363,42331,True,50,10,1e-06,100,5
0.7463636363636363,42331,True,50,10,1e-06,100,15
0.7463636363636363,42331,True,50,10,1e-06,300,5
0.7509090909090909,42331,True,50,10,1e-06,300,15
