accuracy,corpus_count,dm,min_count,n_epochs,sample,vector_size,window
0.6654545454545454,41418,False,1,10,0.0001,100,5
0.6472727272727272,41418,False,1,10,0.0001,100,15
0.649090909090909,41418,False,1,10,0.0001,300,5
0.6427272727272727,41418,False,1,10,0.0001,300,15
0.6545454545454545,41418,False,5,10,0.0001,100,5
0.6545454545454545,41418,False,5,10,0.0001,100,15
0.6254545454545455,41418,False,5,10,0.0001,300,5
0.6127272727272727,41418,False,5,10,0.0001,300,15
0.6718181818181819,41418,False,15,10,0.0001,100,5
0.6727272727272727,41418,False,15,10,0.0001,100,15
0.6163636363636363,41418,False,15,10,0.0001,300,5
0.6272727272727273,41418,False,15,10,0.0001,300,15
0.6454545454545455,41418,False,50,10,0.0001,100,5
0.6636363636363637,41418,False,50,10,0.0001,100,15
0.6136363636363636,41418,False,50,10,0.0001,300,5
0.6018181818181818,41418,False,50,10,0.0001,300,15
0.6909090909090909,41418,False,1,10,1e-05,100,5
0.6872727272727273,41418,False,1,10,1e-05,100,15
0.6909090909090909,41418,False,1,10,1e-05,300,5
0.6927272727272727,41418,False,1,10,1e-05,300,15
0.6572727272727272,41418,False,5,10,1e-05,100,5
0.6681818181818182,41418,False,5,10,1e-05,100,15
0.6527272727272727,41418,False,5,10,1e-05,300,5
0.6581818181818182,41418,False,5,10,1e-05,300,15
0.639090909090909,41418,False,15,10,1e-05,100,5
0.6445454545454545,41418,False,15,10,1e-05,100,15
0.6427272727272727,41418,False,15,10,1e-05,300,5
0.6318181818181818,41418,False,15,10,1e-05,300,15
0.639090909090909,41418,False,50,10,1e-05,100,5
0.6472727272727272,41418,False,50,10,1e-05,100,15
0.6227272727272727,41418,False,50,10,1e-05,300,5
0.6245454545454545,41418,False,50,10,1e-05,300,15
0.8527272727272728,41418,False,1,10,1e-06,100,5
0.8590909090909091,41418,False,1,10,1e-06,100,15
0.8527272727272728,41418,False,1,10,1e-06,300,5
0.8427272727272728,41418,False,1,10,1e-06,300,15
0.8136363636363636,41418,False,5,10,1e-06,100,5
0.8045454545454546,41418,False,5,10,1e-06,100,15
0.8254545454545454,41418,False,5,10,1e-06,300,5
0.8109090909090909,41418,False,5,10,1e-06,300,15
0.8045454545454546,41418,False,15,10,1e-06,100,5
0.7963636363636364,41418,False,15,10,1e-06,100,15
0.8054545454545454,41418,False,15,10,1e-06,300,5
0.8081818181818182,41418,False,15,10,1e-06,300,15
0.7627272727272727,41418,False,50,10,1e-06,100,5
0.7681818181818182,41418,False,50,10,1e-06,100,15
0.7709090909090909,41418,False,50,10,1e-06,300,5
0.76,41418,False,50,10,1e-06,300,15
